ru,MSG,0000,"Приложение не может быть запущено, так как не предоставлены все необходимы разрешения. Запустите приложение еще раз."
ru,MSG,0001,Для использования программы необходимо принять пользовательское соглашение.
ru,MSG,0002,Для продолжения подключите интернет.
ru,MSG,0003,Технические работы. Пожалуйста попробуйте снова через 30 минут.
ru,MSG,0004,Проблема с формированием уникального UID вашего мобильного устройства. Отчет отправлен.
ru,MSG,0005,Нарушение безопасности Вашего мобильного устройства. Удалите Root и заблокируйте загрузчик.
ru,MSG,0006,Для продолжения вставьте действующею сим карту.
ru,MSG,0007,Проверьте наличие сим карты в мобильном телефоне или переместите сим карту в другой слот для сим карт.
ru,MSG,0008,Данное приложение будет доступно в Вашем регионе после :________
ru,MSG,0009,Проблема с соединением. Пожалуйста попробуйте еще раз.
ru,MSG,0010,"Вышло новое приложение, все Ваши данные будут сохранены при переходе, пожалуйста установите новое приложение по ссылке: ___________"
ru,MSG,0011,"Введен не существующий номер мобильного телефона, пожалуйста введите правильный номер мобильного телефона в международном формате который следует после кода региона."
ru,MSG,0012,К сожалению мы не можем предоставить Вам доступ к нашему приложению.
ru,MSG,0013,Превышен лимит запросов с данного устройства вы сможете попробовать снова через: _____________ минут.
ru,MSG,0014,"Пожалуйста проверьте что указан верный номер мобильного телефона, сим карта с введенным номером мобильного телефона вставлена в данное устройство, сим карта активна и находится в зоне действия сети оператора. После этого повторите попытку."
ru,TXT,0000,Добро пожаловать в
ru,TXT,0001,"Я подтверждаю, что я ознакомился и полностью принимаю"
ru,TXT,0002,Условия использования приложения :_____________
ru,BTN,0000,Водитель
ru,BTN,0001,Менеджер
ru,TOP,0000,Условия использования :_________
ru,TOP,0001,Регистрация Водителя
ru,TOP,0002,Регистрация Менеджера
ru,TXT,0003,"Убедитесь, что сим карта с указанным номером мобильного телефона активна и находится внутри устройства, в противном случае регистрация не возможна."
ru,TXT,0004,Регистрация
ru,BTN,0002,Далее
ru,TOP,0003,Водитель
ru,TOP,0004,Менеджер
ru,TXT,0005,Ошибка
ru,BTN,0003,Закрыть
en,MSG,0000,The app cannot be started because all necessary permissions are not provided. Launch the app again.
en,MSG,0001,"To use the app, you must accept the user agreement."
en,MSG,0002,Connect to the Internet to continue.
en,MSG,0003,Engineering works. Please try again after 30 minutes.
en,MSG,0004,The problem with the formation of a unique UID of your mobile device. Report sent.
en,MSG,0005,Security violation of your mobile device. Remove Root and lock the bootloader.
en,MSG,0006,"To continue, insert a valid SIM card."
en,MSG,0007,Check the availability of a SIM card in the mobile phone or move the SIM card to another SIM card slot.
en,MSG,0008,This app will be available in your country after :________
en,MSG,0009,Internet connection problem. Please try again.
en,MSG,0010,"The app version is outdated. A new app has been released, all your data will be saved during the transition, please install the new app using the link: ___________"
en,MSG,0011,"Wrong mobile phone number has been entered, please enter the correct mobile phone number in the international format that follows after the country code."
en,MSG,0012,"Unfortunately, we cannot give you access to our app."
en,MSG,0013,"Exceeded the limit of requests, you can try again after some minutes: _________"
en,MSG,0014,"Please check that the correct mobile phone number is indicated, a SIM card with the entered mobile phone number is inserted into this device, the SIM card is active and is in the coverage area of ​​the operator’s network. Then try again."
en,TXT,0000,Welcome to the App :________
en,TXT,0001,I confirm that I have read and fully accept
en,TXT,0002,Terms & Conditions of App :________
en,BTN,0000,Driver
en,BTN,0001,Manager
en,TOP,0000,Terms of Use :_________
en,TOP,0001,Driver Registration
en,TOP,0002,Manager Registration
en,TXT,0003,"Make sure that the SIM card with the specified mobile phone number is active and located inside the device, otherwise registration is not possible."
en,TXT,0004,Registration
en,BTN,0002,Next step
en,TOP,0003,Driver
en,TOP,0004,Manager
en,TXT,0005,Mistake
en,BTN,0003,Close
ur,MSG,0000,ایپ کو شروع نہیں کیا جاسکتا کیونکہ تمام ضروری اجازتیں فراہم نہیں کی گئیں ہیں۔ دوبارہ ایپ لانچ کریں۔
ur,MSG,0001,ایپ کو استعمال کرنے کے ل you ، آپ کو صارف کا معاہدہ قبول کرنا ہوگا۔
ur,MSG,0002,جاری رکھنے کے لئے انٹرنیٹ سے رابطہ کریں۔
ur,MSG,0003,انجینئرنگ کام کرتا ہے۔ براہ کرم 30 منٹ بعد دوبارہ کوشش کریں۔
ur,MSG,0004,آپ کے موبائل آلہ کی ایک منفرد UID کی تشکیل میں مسئلہ۔ رپورٹ بھیجی گئی۔
ur,MSG,0005,آپ کے موبائل آلہ کی سیکیورٹی کی خلاف ورزی۔ روٹ کو ہٹا دیں اور بوٹ لوڈر کو لاک کریں۔
ur,MSG,0006,جاری رکھنے کے لئے ، ایک درست سم کارڈ داخل کریں۔
ur,MSG,0007,موبائل فون میں سم کارڈ کی دستیابی کو چیک کریں یا سم کارڈ کو دوسرے سم کارڈ سلاٹ میں منتقل کریں۔
ur,MSG,0008,یہ ایپ آپ کے ملک میں اس کے بعد دستیاب ہوگی: ________
ur,MSG,0009,انٹرنیٹ کنکشن کا مسئلہ۔ دوبارہ کوشش کریں.
ur,MSG,0010,ایپ ورژن پرانا ہے۔ ایک نئی ایپ جاری کی گئی ہے ، منتقلی کے دوران آپ کا سارا ڈیٹا محفوظ ہوجائے گا ، براہ کرم لنک استعمال کرکے نیا ایپ انسٹال کریں: ___________
ur,MSG,0011,غلط موبائل فون نمبر داخل کیا گیا ہے ، براہ کرم ملکی کوڈ کے بعد آنے والے بین الاقوامی فارمیٹ میں صحیح موبائل فون نمبر درج کریں۔
ur,MSG,0012,بدقسمتی سے ، ہم آپ کو ہماری ایپ تک رسائی نہیں دے سکتے ہیں۔
ur,MSG,0013,درخواستوں کی حد سے تجاوز ، آپ کچھ منٹ بعد دوبارہ کوشش کر سکتے ہیں: _________
ur,MSG,0014,براہ کرم چیک کریں کہ درست موبائل فون نمبر اشارہ کیا گیا ہے ، اس آلہ میں درج موبائل فون نمبر والا سم کارڈ داخل کیا گیا ہے ، سم کارڈ فعال ہے اور آپریٹر کے نیٹ ورک کے کوریج ایریا میں ہے۔ پھر دوبارہ کوشش کریں۔
ur,TXT,0000,ایپ میں خوش آمدید: ________
ur,TXT,0001,میں تصدیق کرتا ہوں کہ میں نے پڑھ لیا ہے اور پوری طرح قبول ہے
ur,TXT,0002,ایپ کے شرائط و ضوابط: ________
ur,BTN,0000,ڈرائیور
ur,BTN,0001,منیجر
ur,TOP,0000,استعمال کرنے کی شرائط :_________
ur,TOP,0001,ڈرائیور کی رجسٹریشن
ur,TOP,0002,مینیجر رجسٹریشن
ur,TXT,0003,اس بات کو یقینی بنائیں کہ مخصوص موبائل فون نمبر والا سم کارڈ فعال اور ڈیوائس کے اندر موجود ہے ، بصورت دیگر اندراج ممکن نہیں ہے۔
ur,TXT,0004,رجسٹریشن
ur,BTN,0002,اگلا قدم
ur,TOP,0003,ڈرائیور
ur,TOP,0004,منیجر
ur,TXT,0005,غلطی
ur,BTN,0003,بہت کریب
hi,MSG,0000,एप्लिकेशन प्रारंभ नहीं किया जा सकता क्योंकि सभी आवश्यक अनुमतियां प्रदान नहीं की गई हैं। ऐप को फिर से लॉन्च करें।
hi,MSG,0001,"ऐप का उपयोग करने के लिए, आपको उपयोगकर्ता अनुबंध को स्वीकार करना होगा।"
